id,street,street2,city,state,zipcode,country,latitude,longitude
1,123,street,Denver,CO,12345,USA,39.7462,-104.9253
2,345,way,Denver,CO,45678,USA,39.7135,-104.9128
3,"123 Main St",,Denver,CO,12345,USA,39.7839,-104.8557
4,"456 Oak Ave",,Denver,CO,54321,USA,39.6765,-104.9301
5,"789 Elm Rd","Unit 204",Denver,CO,98765,USA,39.7281,-105.0543
6,"234 Pine St",,Denver,CO,34567,USA,39.7822,-105.0231
7,"567 Maple Ln",,Denver,CO,67890,USA,39.6978,-105.0915
8,"890 Cedar Ave",,Denver,CO,45678,USA,39.7204,-104.8745
9,"123 Pineapple St","Apartment 101",Denver,CO,23456,USA,39.6991,-105.0652
10,"456 Cherry Blvd",,Denver,CO,76543,USA,39.7790,-104.9582
11,"4717 Linden Sycamore",,"San Francisco",CA,84672,USA,37.88260139316907,-122.6768555020947
12,"4415 Pear Pear",,Denver,CO,11608,USA,39.98294840927241,-105.08174519881135
13,"8660 Cherry Hemlock",,Washington,DC,77996,USA,38.984637833488634,-76.92224478390175
14,"382 Maple Walnut",,Chicago,IL,37599,USA,41.647250765152116,-87.72789591458516
15,"8682 Pewter Laurel",,Washington,DC,38939,USA,38.941265091133666,-77.02300304679719
16,"6386 Sequoia Chestnut",,Houston,TX,79543,USA,29.750587001300467,-95.61264733093809
17,"4571 Fir Cottonwood",,"San Francisco",CA,73932,USA,37.95544638250798,-122.96118853118213
18,"6105 Basswood Tamarack",,"New York",NY,42489,USA,40.64647543514917,-73.6036286549998
19,"9997 Hickory Yew",,"San Francisco",CA,36727,USA,37.80642065624268,-123.18707992196786
20,"6073 Tamarack Beech",,Indianapolis,IN,80393,USA,39.77887984207028,-85.89137215848875
21,"342 Dogwood Cedar",,Austin,TX,52479,USA,30.172682816405537,-97.9018699457076
22,"451 Balsam Cottonwood",,Charlotte,NC,62704,USA,35.14465153420702,-80.71937517505317
23,"8769 Aspen Redwood",,"San Diego",CA,11363,USA,32.52144753706201,-116.83046828740079
24,"4978 Palm Zelkova",,Charlotte,NC,89776,USA,35.117934663275676,-80.82004065294063
25,"8213 Alder Fir",,Houston,TX,33486,USA,29.705063155573843,-95.21456466481834
26,"1310 Larch Cypress",,Denver,CO,07477,USA,39.8707807004603,-104.6724375940514
27,"232 Walnut Rowan",,Memphis,TN,00644,USA,35.00497157441079,-89.90280848603096
28,"8066 Magnolia Birch",,Houston,TX,03692,USA,30.00762770852475,-95.46567074911381
29,"3838 Larch Laurel",,"El Paso",TX,88858,USA,32.01289536033563,-106.22289137649733
30,"2045 Sycamore Chestnut",,Chicago,IL,74290,USA,41.80803815938011,-87.51046791187177
31,"2421 Redwood Mango",,Dallas,TX,19152,USA,32.8016478897522,-96.77973891503717
32,"2468 Sequoia Pewter",,Indianapolis,IN,96031,USA,39.78225678734862,-86.03182541647082
33,"410 Mahogany Walnut",,"San Antonio",TX,90461,USA,29.27497082363047,-98.35533530272751
34,"3474 Linden Dogwood",,"El Paso",TX,98714,USA,31.8334041631455,-106.2652763736401
